B1,B2,B3,B4,B5,B6,B7,EVI,NBR,NDMI,NDWI,NDBI,NDBaI,elevation,classvalue,sample
0.05702874999999999,0.06441250000000001,0.08303000000000002,0.09418125,0.19345625,0.20211874999999999,0.17008125,0.1945881845623114,0.0642987312175498,-0.02189850218037032,-0.3993914706427533,0.02189850218037032,0.08607603439011284,470,1,train
0.04652375,0.053041249999999984,0.0691425,0.06695625,0.2341975,0.21001125,0.15363625,0.3376903898584605,0.20772109183380766,0.05444793692154869,-0.5441254038372784,-0.05444793692154869,0.15502650231336668,472,1,train
0.040624999999999994,0.043155,0.06347750000000002,0.06083749999999999,0.24858000000000002,0.19512000000000002,0.13541750000000002,0.36385827275246774,0.29469592900995445,0.12048681541582151,-0.5931679257829086,-0.12048681541582151,0.18062247097530532,479,1,train
0.05135000000000001,0.05497999999999997,0.0761,0.06977499999999998,0.23760750000000003,0.2106575,0.157555,0.3373090442818297,0.20258121658811254,0.0601206875397366,-0.5148346788011126,-0.0601206875397366,0.14421699426282378,478,1,train
0.07068249999999998,0.07818999999999998,0.10150999999999999,0.11459999999999998,0.21563500000000002,0.3106475,0.2862825,0.19181772617158138,-0.14075520379345205,-0.18053516884942972,-0.35985117217676466,0.18053516884942972,0.04081718124403201,888,1,train
0.15061125,0.16444375,0.16218875,0.146995,0.25962125,0.360285,0.361055,0.310004465941519,-0.16342457118344705,-0.16238544134697783,-0.23098670017306377,0.16238544134697783,-0.001067457786896599,880,1,train
0.10571749999999999,0.11717125,0.11906875,0.12041625,0.22196000000000002,0.3533,0.34082875,0.23821504835265508,-0.21121379913866434,-0.22831415360011123,-0.3017084336731141,0.22831415360011123,0.01796676769259304,884,1,train
0.036610000000000004,0.04587749999999999,0.08173750000000002,0.08162750000000002,0.2604325,0.1945425,0.12502249999999998,0.3179057919286545,0.3512991140340637,0.14482114401890214,-0.5222404068153257,-0.14482114401890214,0.21754572622158255,783,1,train
0.036169999999999994,0.044365,0.07443625000000001,0.0711775,0.2689575,0.18522,0.12137875000000001,0.3626901198208739,0.378081077532512,0.1843717489307595,-0.5664670658682635,-0.1843717489307595,0.20822410397954977,779,1,train
0.04486,0.05764749999999999,0.08186125,0.08837875,0.1710025,0.19982250000000001,0.1746875,0.16278376767622038,-0.010659839740808221,-0.07771860041798695,-0.35252680544364307,0.07771860041798695,0.06711436276734939,972,1,train
0.04030874999999999,0.053550000000000014,0.08259,0.09033125,0.16544750000000003,0.18766750000000001,0.1712225,0.14381159969674,-0.017153295511925546,-0.06292567577134923,-0.33405231063851243,0.06292567577134923,0.04582183956086827,972,1,train
0.034629999999999994,0.04327874999999999,0.08149,0.08476249999999999,0.30407500000000004,0.2355725,0.15580875,0.36845387973850174,0.32239941072064415,0.12693934466480442,-0.5772956570228107,-0.12693934466480442,0.2038006419571709,972,1,train
0.03182499999999999,0.03852124999999999,0.06929375000000002,0.06430250000000001,0.304295,0.21153750000000002,0.13466124999999998,0.4281908238515094,0.38644796605584275,0.17982096901610495,-0.6290372769522635,-0.17982096901610495,0.2220581385692468,973,1,train
0.045520000000000005,0.05159750000000002,0.08366249999999997,0.08693499999999998,0.2756675,0.22416000000000003,0.168335,0.33456179862918883,0.24173850372464117,0.10305055244059197,-0.5343416914813682,-0.10305055244059197,0.14223111122434684,975,1,train
0.03231999999999999,0.036087499999999995,0.061112500000000014,0.06394499999999997,0.23672749999999998,0.17980249999999998,0.11669000000000002,0.3200289314711246,0.33964786689962995,0.13666482606294866,-0.5896286596830512,-0.13666482606294866,0.21286373179760015,572,1,train
0.03960749999999999,0.046262499999999984,0.0683725,0.07068249999999998,0.2225375,0.21621250000000003,0.15937,0.29210440008040545,0.16539999869078242,0.014415954415954346,-0.5299405314358393,-0.014415954415954346,0.15134491090506083,573,1,train
0.030257499999999993,0.035564999999999986,0.05709750000000002,0.07038,0.23144750000000003,0.18560500000000002,0.138305,0.29031842334840197,0.2519049905004023,0.10992021388194533,-0.6042385069919769,-0.10992021388194533,0.14602821771479732,487,1,train
